Roll,Student ID,Student Name,Class,Section,Bangla 1st Paper (100),Bangla 2nd Paper (100),English 1st Paper (100),English 2nd Paper (100),Mathematics (100),Science (100),Bangladesh & Global Studies (100),ICT (50),Religion & Moral Education (100)
26,DHS102026026,Sadia Rahman,10,B,84,79,71,67,82,75,94,47,84
27,DHS102026027,Mou Islam,10,C,85,85,98,98,98,98,78,45,95
28,DHS102026028,Tasnim Sarker,10,D,94,74,96,88,77,90,95,35,90
29,DHS102026029,Fariha Mahmud,10,A,67,61,60,85,88,66,54,35,53
30,DHS102026030,Samia Miah,10,B,60,73,49,68,63,66,68,36,62
31,DHS102026031,Arafat Rahman,10,C,87,89,86,89,97,87,91,41,78
32,DHS102026032,Sakib Islam,10,D,44,58,51,52,48,81,46,22,48
33,DHS102026033,Rakib Sarker,10,A,77,81,93,95,87,87,81,41,86
34,DHS102026034,Tanvir Mahmud,10,B,78,80,72,85,93,86,81,40,80
35,DHS102026035,Nayeem Miah,10,C,77,72,89,86,98,62,84,37,77
36,DHS102026036,Fahim Rahman,10,D,83,79,82,71,90,71,72,44,48
37,DHS102026037,Shuvo Islam,10,A,75,83,74,67,63,75,72,33,70
38,DHS102026038,Rafi Sarker,10,B,97,97,80,87,89,96,70,44,86
39,DHS102026039,Hasan Mahmud,10,C,73,80,71,72,60,68,76,43,70
40,DHS102026040,Imran Miah,10,D,71,90,80,78,92,64,65,41,85
41,DHS102026041,Mehedi Rahman,10,A,57,55,63,73,70,61,95,27,76
42,DHS102026042,Arman Islam,10,B,73,70,64,73,72,61,68,34,60
43,DHS102026043,Nahid Sarker,10,C,69,45,48,66,55,70,48,28,63
44,DHS102026044,Siam Mahmud,10,D,62,73,65,73,79,64,68,35,85
45,DHS102026045,Adnan Miah,10,A,64,82,69,88,50,71,83,36,81
46,DHS102026046,Jahid Rahman,10,B,77,80,84,58,58,58,52,24,65
47,DHS102026047,Sabbir Islam,10,C,40,46,61,37,69,71,71,32,48
48,DHS102026048,Tanim Sarker,10,D,76,73,50,77,47,79,61,31,63
49,DHS102026049,Mahir Mahmud,10,A,76,73,81,73,97,87,86,37,98
50,DHS102026050,Rahat Miah,10,B,63,67,57,51,71,64,46,31,34
51,DHS102026051,Sumaiya Rahman,10,C,74,83,68,84,84,76,88,42,68
52,DHS102026052,Nusrat Islam,10,D,82,81,73,53,71,78,77,38,81
53,DHS102026053,Jannat Sarker,10,A,91,93,73,75,71,95,81,30,76
54,DHS102026054,Mim Mahmud,10,B,64,57,69,50,55,50,69,27,61
55,DHS102026055,Tanjila Miah,10,C,80,88,80,77,73,96,87,41,81
56,DHS102026056,Sadia Rahman,10,D,68,83,68,84,81,74,65,37,69
57,DHS102026057,Mou Islam,10,A,57,53,79,65,73,53,59,24,50
58,DHS102026058,Tasnim Sarker,10,B,98,90,74,80,78,87,60,40,91
59,DHS102026059,Fariha Mahmud,10,C,45,52,59,51,43,67,48,24,66
60,DHS102026060,Samia Miah,10,D,53,63,62,64,59,57,69,23,62
61,DHS102026061,Arafat Rahman,10,A,72,70,56,58,49,61,57,34,64
62,DHS102026062,Sakib Islam,10,B,56,73,67,53,41,79,40,22,61
63,DHS102026063,Rakib Sarker,10,C,80,73,76,86,90,77,95,44,94
64,DHS102026064,Tanvir Mahmud,10,D,74,70,71,47,54,71,62,40,60
65,DHS102026065,Nayeem Miah,10,A,98,74,73,94,87,76,92,36,90
66,DHS102026066,Fahim Rahman,10,B,73,75,54,63,54,68,83,35,66
67,DHS102026067,Shuvo Islam,10,C,93,93,85,88,81,68,80,42,81
68,DHS102026068,Rafi Sarker,10,D,64,71,69,70,97,84,48,37,61
69,DHS102026069,Hasan Mahmud,10,A,61,57,66,47,44,56,52,34,80
70,DHS102026070,Imran Miah,10,B,62,71,76,62,70,75,65,34,67
71,DHS102026071,Mehedi Rahman,10,C,67,88,89,84,82,82,84,49,87
72,DHS102026072,Arman Islam,10,D,67,95,58,63,73,66,72,35,57
73,DHS102026073,Nahid Sarker,10,A,70,89,67,83,73,66,77,42,77
74,DHS102026074,Siam Mahmud,10,B,43,64,49,42,68,67,57,20,57
75,DHS102026075,Adnan Miah,10,C,73,60,50,52,72,60,63,30,48
76,DHS102026076,Jahid Rahman,10,D,83,83,86,79,85,92,98,40,74
77,DHS102026077,Sabbir Islam,10,A,60,68,54,54,52,55,54,29,56
78,DHS102026078,Tanim Sarker,10,B,84,75,76,76,69,77,71,32,85
79,DHS102026079,Mahir Mahmud,10,C,65,69,55,72,73,73,65,28,65
80,DHS102026080,Rahat Miah,10,D,77,76,81,63,77,67,74,31,76
81,DHS102026081,Sumaiya Rahman,10,A,69,98,77,73,84,64,69,34,60
82,DHS102026082,Nusrat Islam,10,B,67,72,71,82,70,67,59,25,72
83,DHS102026083,Jannat Sarker,10,C,78,56,68,69,74,68,71,33,77
84,DHS102026084,Mim Mahmud,10,D,94,67,80,90,79,89,70,47,77
85,DHS102026085,Tanjila Miah,10,A,67,85,65,75,77,55,56,30,81
86,DHS102026086,Sadia Rahman,10,B,61,71,68,79,74,75,57,28,49
87,DHS102026087,Mou Islam,10,C,57,73,91,71,79,95,67,39,89
88,DHS102026088,Tasnim Sarker,10,D,73,61,84,59,53,63,70,30,70
89,DHS102026089,Fariha Mahmud,10,A,49,58,64,49,68,46,70,32,53
90,DHS102026090,Samia Miah,10,B,72,62,51,48,57,71,64,26,63
91,DHS102026091,Arafat Rahman,10,C,56,46,49,63,57,77,43,30,70
92,DHS102026092,Sakib Islam,10,D,66,80,68,72,66,77,54,40,79
93,DHS102026093,Rakib Sarker,10,A,82,71,55,55,61,33,65,30,50
94,DHS102026094,Tanvir Mahmud,10,B,71,78,72,62,65,86,76,33,84
95,DHS102026095,Nayeem Miah,10,C,83,59,81,84,97,85,83,48,78
96,DHS102026096,Fahim Rahman,10,D,63,57,59,59,80,63,57,37,62
97,DHS102026097,Shuvo Islam,10,A,55,79,67,85,50,60,66,38,74
98,DHS102026098,Rafi Sarker,10,B,54,53,60,47,67,59,79,25,59
99,DHS102026099,Hasan Mahmud,10,C,50,56,58,67,82,76,72,28,63
100,DHS102026100,Imran Miah,10,D,82,87,90,78,87,98,82,44,81
